event_date,user_id,id,latitude,longitude,city,state,district,HUB
2021-08-11 16:19:39,385,82,-22.9514186,-43.1928497,Rio de Janeiro,RJ,Botafogo,
2021-08-11 16:20:44,385,82,-22.9514186,-43.1928497,Rio de Janeiro,RJ,Botafogo,
2021-08-11 16:21:09,385,82,-22.9514186,-43.1928497,Rio de Janeiro,RJ,Botafogo,
2021-08-11 16:24:34,385,82,-22.9514186,-43.1928497,Rio de Janeiro,RJ,Botafogo,
2021-08-12 17:01:07,3365,54048,-12.988649,-38.482096,Salvador,BA,,
2021-08-12 17:30:05,3365,54048,-12.988649,-38.482096,Salvador,BA,,
2021-08-12 18:23:33,3365,54048,-12.988649,-38.482096,Salvador,BA,,
2021-08-12 18:30:45,3365,54048,-12.988649,-38.482096,Salvador,BA,,
2021-08-16 17:14:02,35526,577,-15.9037375,-48.0556795,Brasília,DF,,
2021-08-16 17:18:59,35526,577,-15.9037375,-48.0556795,Brasília,DF,,
2021-08-16 17:33:39,35526,577,-15.9037375,-48.0556795,Brasília,DF,,
2021-08-16 18:12:36,78351,211296,-22.9379092,-43.1763057,Rio de Janeiro,RJ,Flamengo,São Cristóvão
2021-08-16 18:19:32,3365,54048,-12.988649,-38.482096,Salvador,BA,,
2021-08-16 18:19:50,78351,211296,-22.9379092,-43.1763057,Rio de Janeiro,RJ,Flamengo,São Cristóvão
2021-08-16 18:32:20,78351,211296,-22.9379092,-43.1763057,Rio de Janeiro,RJ,Flamengo,São Cristóvão
2021-08-16 18:32:24,78351,222176,-19.9042749,-43.951729,Belo Horizonte,MG,Santo Andre,
2021-08-16 18:32:27,78351,222176,-19.9042749,-43.951729,Belo Horizonte,MG,Santo Andre,
2021-08-16 18:32:29,78351,222176,-19.9042749,-43.951729,Belo Horizonte,MG,Santo Andre,
2021-08-16 18:45:18,35526,577,-15.9037375,-48.0556795,Brasília,DF,,
2021-08-16 18:47:48,35526,577,-15.9037375,-48.0556795,Brasília,DF,,
2021-08-16 18:47:52,35526,551,-23.5328767,-46.4918043,São Paulo,SP,Vila Ré,
2021-08-16 18:47:55,35526,551,-23.5328767,-46.4918043,São Paulo,SP,Vila Ré,
2021-08-16 18:47:59,35526,551,-23.5328767,-46.4918043,São Paulo,SP,Vila Ré,
2021-08-17 02:13:47,144121,199201,-23.5678355,-46.6480931,São Paulo,SP,Bela Vista,
2021-08-17 10:50:40,78351,211296,-22.9379092,-43.1763057,Rio de Janeiro,RJ,Flamengo,São Cristóvão
2021-08-17 10:55:56,78351,211296,-22.9379092,-43.1763057,Rio de Janeiro,RJ,Flamengo,São Cristóvão
